id,name,copies,parchmentType,sourceLine,sourceText,scoringStatus,scoringSpec,notes,openItemRefs
explorer,Explorer,1,mission,12,3 carrots per corner territory you control,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_corner_territories"",""pointsPerItem"":3}","The original board corners are A1, A10, J1, and J10.",
carpenter,Carpenter,1,mission,13,1 carrot per Wood resource you produce,draft_from_source,"{""type"":""points_per_resource"",""resource"":""wood"",""pointsPerUnit"":1}",,
master_carpenter,Master Carpenter,1,mission,14,2 carrots per Wood resource,draft_from_source,"{""type"":""points_per_resource"",""resource"":""wood"",""pointsPerUnit"":2}",,
woodland_king,Woodland King,1,mission,15,20 carrots if you produce at least 7 Wood,draft_from_source,"{""type"":""resource_threshold"",""resource"":""wood"",""minimum"":7,""points"":20}",,
fisher,Fisher,1,mission,16,1 carrot per Fish resource you produce,draft_from_source,"{""type"":""points_per_resource"",""resource"":""fish"",""pointsPerUnit"":1}",,
master_fisher,Master Fisher,1,mission,17,2 carrots per Fish resource,draft_from_source,"{""type"":""points_per_resource"",""resource"":""fish"",""pointsPerUnit"":2}",,
fisher_king,Fisher King,1,mission,18,20 carrots if you produce at least 7 Fish,draft_from_source,"{""type"":""resource_threshold"",""resource"":""fish"",""minimum"":7,""points"":20}",,
farmer,Farmer,1,mission,19,1 carrot per Carrot resource you produce,draft_from_source,"{""type"":""points_per_resource"",""resource"":""carrots"",""pointsPerUnit"":1}",,
master_farmer,Master Farmer,1,mission,20,2 carrots per Carrot resource,draft_from_source,"{""type"":""points_per_resource"",""resource"":""carrots"",""pointsPerUnit"":2}",,
carrot_king,Carrot King,1,mission,21,15 carrots if you produce at least 5 Carrots,draft_from_source,"{""type"":""resource_threshold"",""resource"":""carrots"",""minimum"":5,""points"":15}",,
merchant,Merchant,1,mission,22,3 carrots per Luxury Resource you produce,draft_from_source,"{""type"":""points_per_resource_class"",""resourceClass"":""luxury"",""pointsPerUnit"":3}","Count luxury-resource production, including farms; basic carrots and the field luxury resource remain distinct.",
master_of_the_mountains,Master of the Mountains,1,mission,23,2 carrots per Mountain territory you control,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_mountain_territories"",""pointsPerItem"":2}",,
carrotistador,Carrotistador,1,mission,24,4 carrots for every Fief containing at least 3 territories,draft_from_source,"{""type"":""points_per_qualifying_fief"",""minimumTerritories"":3,""pointsPerFief"":4}",,
harecingetorix,Harecingetorix,1,mission,25,1 carrot per Fief you control,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_fiefs"",""pointsPerItem"":1}",,
hun_ny_king,Hun-ny King,1,mission,26,12 carrots if you have at least 10 Fiefs,draft_from_source,"{""type"":""count_threshold"",""metric"":""controlled_fiefs"",""minimum"":10,""points"":12}",,
bun_shee,Bun-Shee,1,mission,27,2 carrots per City in your Fiefs that produce no resources,draft_from_source,"{""type"":""points_per_count"",""metric"":""cities_in_fiefs_with_no_resource_production"",""pointsPerItem"":2}","Check resource production across the entire fief, then count its cities, regardless of city strength.",
panpan_the_barbarian,PanPan the Barbarian,1,mission,28,2 carrots per territory you control that has neither a City nor a resource,draft_from_source,"{""type"":""points_per_count"",""metric"":""controlled_territories_with_no_city_and_no_resource_production"",""pointsPerItem"":2}",Check each territory separately. A city or resource elsewhere in the fief does not disqualify it. A Camp or Sky Tower is not a city (rulebook page 11).,
colonist,Colonist,1,mission,29,3 carrots for each Camp card you played,draft_from_source,"{""type"":""points_per_count"",""metric"":""camp_cards_played"",""pointsPerItem"":3}","The supplied text counts Camp cards played, not Camp tokens currently on the board. Keep card-play history separate from surviving camps; this is a transcription of the supplied summary.",
king_of_thieves,King of Thieves,1,mission,30,12 carrots if you have at least 9 Cities,draft_from_source,"{""type"":""count_threshold"",""metric"":""controlled_cities"",""minimum"":9,""points"":12}","Count cities, not towers/strength (rulebook page 10).",
matriarch,Matriarch,1,mission,31,12 carrots if you control the most territories,needs_clarification,"{""type"":""territory_lead_bonus"",""points"":12,""tiePolicy"":null}",The tie policy is deliberately unset pending a verified clarification.,matriarch-ties
little_prince,Little Prince,1,mission,32,perform another harvest of all your Fiefs except your best Fief,draft_from_source,"{""type"":""extra_harvest_except_best"",""excludedFiefs"":1,""excludeExactlyOneIfBestTied"":true}","If multiple fiefs tie for highest harvest, exclude exactly one of them (rulebook page 11).",
treasure_guardian,Treasure Guardian,1,mission,33,3 carrots for each Treasure Parchment you own,draft_from_source,"{""type"":""points_per_count"",""metric"":""owned_treasures"",""pointsPerItem"":3,""includesCopiedTreasures"":true}",A copied treasure qualifies for this bonus (rulebook page 11).,
treasure_hunter,Treasure Hunter,1,mission,34,doubles the value of your Treasure Parchments,needs_clarification,"{""type"":""multiply_treasure_values"",""factor"":2,""includesCopiedTreasures"":true,""multipleHunterStacking"":null}",Copied treasures qualify. This effect changes treasure values; it must not be counted as an unrelated fixed-point reward. Stacking with a copied Hunter remains open.,treasure-hunter-stacking
liberal,Liberal,1,mission,35,copy one Parchment belonging to the player on your right,needs_clarification,"{""type"":""copy_parchment"",""targetNeighbor"":""right"",""copyEntireCard"":true,""copiedTreasuresQualifyForBonuses"":true,""copyCardTargetPolicy"":null,""choiceOrder"":null}",Copy the whole card. A copied treasure qualifies for Treasure Guardian and Treasure Hunter bonuses (rulebook page 11).,copy-interactions;treasure-hunter-stacking
socialist,Socialist,1,mission,36,copy one Parchment belonging to the player on your left,needs_clarification,"{""type"":""copy_parchment"",""targetNeighbor"":""left"",""copyEntireCard"":true,""copiedTreasuresQualifyForBonuses"":true,""copyCardTargetPolicy"":null,""choiceOrder"":null}",Copy the whole card. A copied treasure qualifies for Treasure Guardian and Treasure Hunter bonuses (rulebook page 11).,copy-interactions;treasure-hunter-stacking
opportunist,Opportunist,1,mission,37,10 carrots if you're in second place after final scoring,needs_clarification,"{""type"":""rank_bonus"",""rank"":2,""points"":10,""checkpoint"":""after_final_scoring"",""tiePolicy"":null}",The user confirmed 10 Golden Carrots for second place after final scoring. The tie policy and interactions between copied Opportunists remain unresolved.,opportunist-ties-and-copies
